,timesteps: 12,timesteps: 30,timesteps: 60,timesteps: 250
def_1_15,50.5,50.0,50.0,50.0
def_1_30,52.0,50.0,50.0,50.0
def_1_60,50.0,50.0,50.0,50.0
def_1_200,31.5,33.5,34.0,44.0
def_10_15,50.0,50.0,50.0,50.0
def_10_30,50.0,50.0,50.0,50.0
def_10_60,50.0,50.0,50.0,50.0
def_10_200,50.0,50.0,50.0,50.0
def_50_15,50.0,50.0,50.0,50.0
def_50_30,50.0,50.0,50.0,50.0
def_50_60,50.0,50.0,50.0,50.0
def_50_200,58.5,61.0,59.5,51.5
N4sid_1_15,50.0,50.0,50.0,50.0
N4sid_1_30,50.0,50.0,50.0,50.0
N4sid_1_60,50.0,50.0,50.0,50.0
N4sid_1_200,49.5,48.0,47.0,50.0
N4sid_10_15,49.0,51.0,50.5,49.5
N4sid_10_30,60.5,52.5,50.0,50.0
N4sid_10_60,50.0,50.5,50.0,50.0
N4sid_10_200,60.0,56.00000000000001,50.0,50.0
N4sid_50_15,42.5,40.5,47.0,49.5
N4sid_50_30,49.0,49.5,50.0,50.0
N4sid_50_60,54.0,50.0,50.0,50.0
N4sid_50_200,50.0,49.0,50.0,50.0
ssa_1_15,50.0,50.0,50.0,50.0
ssa_1_30,43.0,50.0,50.0,50.0
ssa_1_60,50.5,50.0,50.0,50.0
ssa_1_200,33.5,44.0,48.5,50.0
ssa_10_15,27.0,32.5,36.5,48.5
ssa_10_30,37.0,49.5,50.0,50.0
ssa_10_60,46.5,50.0,50.0,50.0
ssa_10_200,29.5,38.5,42.5,49.5
ssa_50_15,35.0,49.5,50.0,50.0
ssa_50_30,33.5,45.0,49.0,50.0
ssa_50_60,47.0,50.0,50.0,50.0
ssa_50_200,28.000000000000004,34.5,36.5,46.5
